126.0,53.00
126.1,53.05
126.8,53.34
128.6,59.21
129.8,63.38
131.2,69.19
132.8,75.77
134.8,82.94
136.8,89.81
139.1,96.80
141.2,103.5
143.9,109.7
146.0,116.5
148.7,123.0
150.9,128.9
153.1,135.0
155.9,141.1
159.0,147.7
162.1,153.9
166.0,160.8
169.1,167.0
172.1,173.8
175.2,179.2
178.0,184.9
180.8,190.6
183.1,196.2
185.8,201.6
188.2,207.0
191.1,212.8
193.9,218.5
196.0,223.7
198.9,229.1
201.1,234.2
203.8,239.8
206.2,245.2
209.0,250.8
211.4,256.0
214.1,261.7
216.9,267.1
219.6,272.8
222.7,278.0
225.9,283.1
229.0,288.8
232.0,294.7
235.0,300.0
237.8,305.8
240.6,311.1
243.7,316.9
246.3,322.6
249.0,328.1
252.0,334.1
254.9,340.9
258.5,347.7
262.8,355.1
263.1,360.8
262.2,364.7
265.9,372.7
267.4,378.7
269.2,385.1
271.7,391.2
273.2,397.1
276.1,403.4
278.4,408.9
281.9,414.9
284.0,420.0
287.2,426.4
290.0,431.6
292.3,437.0
295.0,442.8
297.9,448.8
300.0,454.6
302.0,460.9
303.9,466.9
306.1,472.9
309.0,478.9
311.7,485.2
314.1,491.0
316.8,496.2
319.8,502.2
322.1,508.0
324.4,513.7
327.2,519.9
329.8,525.9
332.1,531.9
334.3,537.3
337.1,543.8
339.9,549.9
343.0,556.1
345.0,562.2
347.1,568.9
349.7,575.1
351.9,581.0
354.0,587.1
356.1,593.3
358.8,600.5
360.9,606.8
363.0,613.4
365.0,620.0
367.2,626.0
369.9,632.8
372.2,639.1
375.0,644.9
377.3,651.0
379.2,657.1
381.6,663.7
384.0,669.9
387.0,676.8
387.9,682.1
390.0,688.9
391.7,694.8
394.4,701.3
396.9,707.0
399.7,713.2
402.7,719.8
405.0,726.2
407.8,733.0
410.0,739.1
412.1,745.8
414.1,751.7
417.0,758.1
419.1,764.2
421.7,770.6
424.1,776.9
426.9,782.8
429.8,789.0
432.0,795.8
434.2,802.0
436.8,808.3
439.1,814.6
441.2,820.9
443.5,827.2
445.8,833.0
447.2,838.9
449.0,845.6
451.0,851.9
452.9,857.9
454.7,864.2
456.2,870.6
458.1,877.7
460.0,883.8
462.1,890.6
464.1,896.8
466.5,903.0
468.4,908.9
471.7,915.2
474.0,921.0
476.8,927.1
479.0,933.1
481.3,939.8
484.1,946.1
486.8,952.2
489.1,958.2
491.7,964.9
494.1,971.3
496.2,978.1
498.7,984.8
501.1,991.4
503.4,998.0
506.1,1.005E3
509.0,1.011E3
511.8,1.018E3
514.0,1.025E3
513.0,1.030E3
515.0,1.037E3
516.4,1.043E3
518.8,1.050E3
521.1,1.057E3
524.0,1.063E3
526.2,1.070E3
528.0,1.077E3
530.0,1.084E3
531.9,1.091E3
533.9,1.097E3
536.2,1.104E3
538.9,1.110E3
541.0,1.116E3
543.8,1.123E3
546.0,1.129E3
548.1,1.136E3
550.7,1.142E3
553.1,1.149E3
555.9,1.156E3
558.2,1.163E3
561.0,1.170E3
563.0,1.177E3
565.1,1.184E3
566.9,1.191E3
569.0,1.197E3
571.1,1.204E3
572.9,1.210E3
574.8,1.217E3
576.2,1.224E3
578.1,1.231E3
580.0,1.238E3
582.1,1.245E3
584.0,1.253E3
585.2,1.260E3
587.0,1.267E3
589.0,1.273E3
591.0,1.280E3
592.5,1.288E3
594.7,1.295E3
596.3,1.302E3
598.1,1.309E3
600.3,1.316E3
603.0,1.323E3
604.9,1.330E3
606.8,1.338E3
608.9,1.345E3
610.7,1.352E3
612.0,1.359E3
614.0,1.367E3
615.2,1.374E3
616.9,1.381E3
618.7,1.389E3
620.1,1.396E3
621.2,1.404E3
622.6,1.411E3
624.2,1.419E3
625.6,1.426E3
627.1,1.434E3
628.8,1.441E3
630.7,1.449E3
632.4,1.456E3
634.1,1.464E3
637.0,1.472E3
638.9,1.479E3
640.0,1.487E3
639.0,1.492E3
640.1,1.499E3
641.0,1.506E3
642.1,1.514E3
643.1,1.521E3
644.0,1.529E3
645.1,1.536E3
646.2,1.544E3
646.8,1.551E3
647.2,1.558E3
647.8,1.566E3
647.9,1.573E3
647.9,1.581E3
647.7,1.588E3
647.8,1.596E3
647.1,1.603E3
646.6,1.610E3
646.0,1.618E3
645.0,1.626E3
644.1,1.632E3
643.2,1.640E3
642.6,1.647E3
642.2,1.655E3
642.8,1.662E3
643.2,1.670E3
643.9,1.677E3
644.0,1.685E3
643.9,1.693E3
643.9,1.700E3
643.4,1.707E3
642.6,1.715E3
642.8,1.722E3
642.0,1.729E3
641.7,1.736E3
641.3,1.744E3
641.7,1.751E3
643.2,1.759E3
645.2,1.767E3
646.2,1.774E3
647.6,1.782E3
649.9,1.789E3
652.3,1.797E3
655.1,1.805E3
658.2,1.813E3
661.1,1.821E3
664.8,1.829E3
